,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
10451,1551137,Ginserv,"Infrastructure, ignition funding, entrepreneurial ecosystem, and knowledge-based services for startups",Telecom,,2,"India, Bengaluru",,,560002,India,Bengaluru,
10469,1464998,Idealab,Idealab,Telecom,,4,"United States, Pasadena",,,91101,United States,Pasadena,
10483,1465807,Sitemark,,Robotics,,2,"Gaston Geenslaan 11, 3001 Leuven, Belgium",Gaston Geenslaan,,,Belgium,Leuven,
10569,1457950,Enginee-ring,Outsourced Agile Engineering by Enginee-ring.com,Robotics,,2,"Cyprus, Nicosia",,,1015,Cyprus,Nicosia,
10683,1455531,Morrigan Partners,Morrigan Partners - The Leading Developer in Mobile Security,Security,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"cybersecurity,Information Technology"
10779,1505011,Plexal,Plexal is the innovation centre and coworking space based at Here East,Security,Real Estate,12,"Plexal, Here East, Queen Elizabeth Olympic Park, Hackney Wick, London E20 3BS",,,E20 3BS,United Kingdom,London,Security
11043,1283249,U.S. Miltary Academy / United States Military Academy,"Four year coeducational federal service academy located in west point, new york",Education,,8,"United States, West Point",,,,United States,West Point,
11081,1270781,Taunt,Esports fan competition platform,Education,,2,"Seattle, WA, United States",,,98104,United States,Seattle,"platform,game development,SaaS,Social"
11108,141220,Scratch Music Group,Scratch.com - Learn to DJ | Discover | Book a DJ,Education,Music,2,"United States, New York",,,,United States,New York,"dj,Retail,Entertainment"
11123,1529329,Estonian Business School,Training facility that caters the needs of organizations’ management functions,Education,,8,"A. Lauteri 3, 10114 Tallinn, Estonia",A. Lauteri,3,10114,Estonia,Tallinn,
11128,1519311,Bucerius Law School,"Private law school located in hamburg, germany",Education,,2,"Jungiusstraße 6, 20355 Hamburg, Germany",Jungiusstraße,,,Germany,Hamburg,
11129,102933,College Tutors 4 You,College Tutoring Service Center in NYC,Education,,2,"United States, New York",,,,United States,New York,
11132,139418,Grantham University,Online university founded by wwii veteran donald grantham,Education,,4,"United States, Kansas City",,,,United States,Kansas City,
11152,1455072,Tuk Tuk Cartel,Tuk Tuk Cartel,Education,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,non-profit
11174,1250929,Colorado School of Mines,"Public teaching and research university in golden, colorado",Education,,8,"United States, Golden",,,,United States,Golden,
11205,1522331,Northwest Career College,"Northwest Career College | Trade School Las Vegas, NV",Education,,2,"United States, Las Vegas",,,89101,United States,Las Vegas,
11218,1310915,National Academy of Sports Medicine,Global leader in science based certification in certified personal trainer,Education,,8,"United States, Chandler",,,,United States,Chandler,
11239,121614,CollegeClickTV,College Videos & Virtual Campus Tours | Online College Reviews by Students - CollegeClickTV.com	College Videos | Student Interviews | College Tips | College Rankings | College Statistics | CollegeClickTV.com,Education,,2,"United States, New York",,,,United States,New York,"recommendation,review,tips,interview,Student,tourism,Statistics,video,Advertising,Freemium"
11252,104096,University of Metaphysical Sciences,Metaphysics University | Metaphysics School | Metaphysical University | Metaphysical Classes | Metaphysical Degree,Education,,2,"United States, Arcata",,,,United States,Arcata,school
11253,118932,Newberry College,,Education,,2,"United States, Newberry",,,29108,United States,Newberry,
11261,1720558,Fore School of Management,School in new delhi,Education,,4,"India, New Delhi",,,110001,India,New Delhi,
11266,1455777,Start-ed Free Legal Workshop,StartEd - Education Through Innovation,Education,Legal,2,"Ireland, Dublin",,,D01,Ireland,Dublin,
11380,1553627,T. A. Pai Management Institute,Indian management institute that supports the task of building professional management capabilities,Education,,8,"India, Bengaluru",,,560002,India,Bengaluru,
11408,1649383,Townfolio,City data as a service,Education,,2,"Canada, Saskatoon",,,S7K,Canada,Saskatoon,
11411,101087,College Student Apartments,College Apartments and Sublets | College Student Apartments,Education,,2,"United States, Dallas",,,,United States,Dallas,apartment
11437,1725608,New Model in Technology & Engineering,The first wholly new British HEI or university level institution in over 40 years,Education,,2,"United Kingdom, Hereford",,,HR4 0,United Kingdom,Hereford,
11443,1722799,Royal Academy of Arts,"The Royal Academy of Arts promotes the creation, enjoyment, and appreciation of the visual arts through exhibitions, education, and debate",Education,,4,"United Kingdom, London",,,SW1A 2,United Kingdom,London,"Charity,outside tech,arts & culture"
11454,1354064,Sewickley Academy,"Sewickley Academy inspires and educates students to engage their hearts, minds, and hands to cultivate their full individual",Education,,8,"United States, Sewickley",,,15143,United States,Sewickley,
11494,216141,Craftsy,"Is the premier destination for learning, inspiration, and supplies for passionate enthusiast makers",Education,,2,"United States, Denver",,,,United States,Denver,"app,Printing,community,arts & culture"
