,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
4229,1500890,"Holgate School, Barnsley",School,,,8,"United Kingdom, Barnsley",,,S70 2,United Kingdom,Barnsley,
4256,1239818,Supreme Group,"End-to-end supply chain solutions to defense, government, and commercial sector",,,3,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,
4324,920764,Queen City Angels,Queen City Angels,,,3,"United States, Cincinnati",,,,United States,Cincinnati,
4380,1530368,International School of Amsterdam,Private international school located in the city of Amstelveen in amsterdam,,,8,"Netherlands, Amstelveen",,,1181,Netherlands,Amstelveen,
4403,1720296,Indian Institute of Technology (BHU) Varanasi,A public engineering institution founded in 1919 with 13 departments and three inter-disciplinary schools,,,4,"India, Varanasi",,,221002,India,Varanasi,
4612,1520406,Ourofino,Ourofino Saúde Animal,Food,,4,"Brazil, Cravinhos",,,14140-000,Brazil,Cravinhos,"pet,livestock,Health Care"
4747,1861988,Grounded,GROUNDED® – Pure Plant Power,Food,,2,"United Kingdom, London",,,W10 6EH,United Kingdom,London,
4777,1656486,Karat Packaging,Karat Packaging is offers a wide selection of high-quality and cost effective disposable food and beverage products,Food,,2,"United States, Chino",,,91710,United States,Chino,"food packaging,Tea,packaging and containers"
4806,1387281,TravelCenters of America,Travel center business,Food,,2,"United States, Westlake",,,44145,United States,Westlake,"Parking,branding"
4817,1533276,GiliOcean Technology,Innovative sustainable fish farming,Food,,2,"Tel Aviv-Yafo, Israel",,,,Israel,Tel Aviv-Yafo,"Sustainability,fish farming,Aquaculture,novel farming,Farming"
4922,103946,The Individuals' Venture Fund,ベンツのレンタカーや観光バスで旅行満喫【ウキウキ気分が大爆発】,Legal,,2,"United States, Palo Alto",,,,United States,Palo Alto,
4938,1457488,AL-DEERA Holding,Al Deera Holding Co.,Legal,,2,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,
4985,1644858,Namati,Namati trains and deploys grassroots legal advocates – sometimes known as ‘barefoot lawyers’,Legal,,2,"20004 Washington, District of Columbia, United States",,,20004,United States,Washington,"Banking,payment"
5159,2948133,DynamicScreen,,Media,,2,"Bordeaux, Nouvelle-Aquitaine, France",,,33000,France,Bordeaux,
5330,1448915,K18,Workspaces of different sizes for professionals in the creative industry,Media,,12,"Kinzigstraße 18, 10247 Berlin, Germany",Kinzigstraße,,,Germany,Berlin,"workspace,video"
5462,1456880,Kuwaiti European Holding Company,News from http://t.co/Z3JOKIYzYa (that's the hosted version). Follow @WordPress for .org updates. Get support at: http://t.co/uAI0RPs8hM An @Automattic product.,Media,,2,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,financial service
5594,2018819,Freedom Lab,,Media,,2,"Amsterdam, Netherlands",,,,Netherlands,Amsterdam,
